area,data,coltura,bbch_min,bbch_max,fasi
Bologna e Ferrara,2026-07-01,MAIS,51,59,emissione pennacchio
Bologna e Ferrara,2026-07-01,MELO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-07-01,NOCE,71,79,accrescimento frutto
Bologna e Ferrara,2026-07-01,OLIVO,71,79,accrescimento frutti
Bologna e Ferrara,2026-07-01,PERO,71,79,accrescimento frutti
Bologna e Ferrara,2026-07-01,PESCO,71,89,da ingrossamento frutti a maturazione
Bologna e Ferrara,2026-07-01,POMODORO_INDUSTRIA,71,83,accrescimento - invaiatura ultimo palco delle cv precocissime
Bologna e Ferrara,2026-07-01,SOIA,10,61,sviluppo vegetativo-inizio fioritura
Bologna e Ferrara,2026-07-01,SUSINO,71,89,ingrossamento frutti - maturazione
Bologna e Ferrara,2026-07-01,VITE,77,79,chiusura grappolo
Bologna e Ferrara,2026-07-08,ACTINIDIA,71,79,ingrossamento frutti
Bologna e Ferrara,2026-07-08,ALBICOCCO,71,89,da accrescimento frutti a maturazione
Bologna e Ferrara,2026-07-08,CILIEGIO,91,93,post-raccolta
Bologna e Ferrara,2026-07-08,KAKI,71,79,accrescimento frutti
Bologna e Ferrara,2026-07-08,MAIS,73,75,maturazione lattea
Bologna e Ferrara,2026-07-08,MELO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-07-08,NOCE,71,79,accrescimento frutto
Bologna e Ferrara,2026-07-08,OLIVO,71,79,accrescimento frutti
Bologna e Ferrara,2026-07-08,PERO,71,89,accrescimento frutti – maturazione cv precoci
Bologna e Ferrara,2026-07-08,PESCO,71,89,da ingrossamento frutti a maturazione
Bologna e Ferrara,2026-07-08,POMODORO_INDUSTRIA,71,83,accrescimento - invaiatura ultimo palco delle cv precocissime
Bologna e Ferrara,2026-07-08,SOIA,60,75,da fioritura a formazione baccelli
Bologna e Ferrara,2026-07-08,SUSINO,71,89,ingrossamento frutti - maturazione
Bologna e Ferrara,2026-07-08,VITE,77,81,chiusura grappolo – inizio invaiatura varietà precoci || chiusura grappolo – inizio invaiatura le varietà precoci
Bologna e Ferrara,2026-07-15,ACTINIDIA,71,79,ingrossamento frutti
Bologna e Ferrara,2026-07-15,ALBICOCCO,81,93,da maturazione a post-raccolta
Bologna e Ferrara,2026-07-15,CILIEGIO,91,93,post-raccolta
Bologna e Ferrara,2026-07-15,KAKI,71,79,accrescimento frutti
Bologna e Ferrara,2026-07-15,MAIS,73,85,maturazione lattea - cerosa
Bologna e Ferrara,2026-07-15,MELO,71,79,ingrossamento frutti
Bologna e Ferrara,2026-07-15,NOCE,71,79,accrescimento frutto
Bologna e Ferrara,2026-07-15,OLIVO,71,79,accrescimento frutti
Bologna e Ferrara,2026-07-15,PERO,71,89,accrescimento frutti – maturazione cv precoci
Bologna e Ferrara,2026-07-15,PESCO,71,89,da ingrossamento frutti a maturazione
Bologna e Ferrara,2026-07-15,POMODORO_INDUSTRIA,81,89,invaiatura – maturazione cv precocissime
Bologna e Ferrara,2026-07-15,SOIA,69,75,formazione baccelli
Bologna e Ferrara,2026-07-15,SUSINO,71,89,ingrossamento frutti - maturazione
Bologna e Ferrara,2026-07-15,VITE,77,81,chiusura grappolo – inizio invaiatura
Bologna e Ferrara,2026-07-22,ACTINIDIA,71,79,ingrossamento frutti
Bologna e Ferrara,2026-07-22,ALBICOCCO,81,93,da maturazione a post-raccolta
Bologna e Ferrara,2026-07-22,CILIEGIO,91,93,post-raccolta
Bologna e Ferrara,2026-07-22,KAKI,71,79,accrescimento frutti
Bologna e Ferrara,2026-07-22,MAIS,73,85,maturazione lattea - cerosa
