coltura,dicitura,bbch_min,bbch_max,verifica
MAIS,da maturazione lattea a cerosa,73,85,due_letture_concordi
MAIS,da pre – emergenza a 2/3 foglie,0,13,due_letture_concordi
MAIS,da pre – emergenza a 5 foglie,0,15,due_letture_concordi
MAIS,da pre – emergenza a emergenza,0,9,due_letture_concordi
MAIS,da pre – emergenza ad emergenza,0,9,due_letture_concordi
MAIS,da pre – semina a emergenza,0,9,due_letture_concordi
MAIS,da pre – semina a pre – emergenza,0,8,due_letture_concordi
MAIS,da pre – semina a semina,0,0,due_letture_concordi
MAIS,da presemina a pre – emergenza,0,8,due_letture_concordi
MAIS,da presemina a semina,0,0,due_letture_concordi
MAIS,da semina a 2/3 foglie,0,13,due_letture_concordi
MAIS,da senescenza sete a maturazione lattea,67,75,due_letture_concordi
MAIS,da spigatura ad emissione pennacchio,51,59,due_letture_concordi
MAIS,emergenza,9,9,due_letture_concordi
MAIS,emergenza – 2 foglie,9,12,due_letture_concordi
MAIS,emergenza – 2 – 4 foglie,9,14,due_letture_concordi
MAIS,emissione pennacchio,51,59,due_letture_concordi
MAIS,emissione pennacchio – comparsa sete,51,65,due_letture_concordi
MAIS,emissione pennacchio – senescenza sete,51,69,due_letture_concordi
MAIS,levata,30,39,due_letture_concordi
MAIS,levata – emissione pennacchio,30,59,due_letture_concordi
MAIS,levata – spigatura,30,59,due_letture_concordi
MAIS,maturazione cerosa,83,85,due_letture_concordi
MAIS,maturazione lattea,73,75,due_letture_concordi
MAIS,maturazione lattea – cerosa,73,85,due_letture_concordi
MAIS,pre – emergenza,0,8,due_letture_concordi
MAIS,pre – emergenza – emergenza,0,9,due_letture_concordi
MAIS,pre – semina,0,0,due_letture_concordi
MAIS,pre – semina – semina,0,0,due_letture_concordi
MAIS,presemina – pre – emergenza,0,8,due_letture_concordi
MAIS,semina – pre – emergenza,0,8,due_letture_concordi
MAIS,spigatura – emissione pennacchio,51,59,due_letture_concordi
MELO,accrescimento frutti,71,79,due_letture_concordi
MELO,accrescimento frutti – maturazione,71,89,due_letture_concordi
MELO,allegagione – accrescimento frutti,71,79,due_letture_concordi
MELO,bottone rosa – fioritura,57,69,due_letture_concordi
MELO,caduta petali ad allegagione,67,71,due_letture_concordi
MELO,da allegagione a inizio ingrossamento frutti,71,72,due_letture_concordi
MELO,da allegagione ad ingrossamento frutti,71,79,due_letture_concordi
MELO,da bottone rosa a fioritura,57,69,due_letture_concordi
MELO,da bottoni rosa a fioritura,57,69,due_letture_concordi
MELO,da caduta petali ad allegagione,67,71,due_letture_concordi
MELO,da comparsa mazzetti fiorali a mazzetti divaricati,55,56,due_letture_concordi
MELO,da fioritura a caduta petali,60,69,due_letture_concordi
MELO,da fioritura ad allegagione,60,71,due_letture_concordi
MELO,da gemma ferma a inizio rigonfiamento gemme,0,51,due_letture_concordi
MELO,da gemma ferma a rigonfiamento gemme,0,52,due_letture_concordi
MELO,da gemma ferma ad inizio rigonfiamento gemme,0,51,due_letture_concordi
MELO,da ingrossamento frutti a frutto noce,71,79,due_letture_concordi
MELO,da ingrossamento frutti a inizio maturazione,71,81,due_letture_concordi
MELO,da ingrossamento frutti a maturazione,71,89,due_letture_concordi
MELO,da mazzetti affioranti a bottone rosa,55,57,due_letture_concordi
MELO,da mazzetti affioranti a inizio fioritura,55,61,due_letture_concordi
MELO,da orecchiette di topo a comparsa dei mazzetti fiorali,54,55,due_letture_concordi
MELO,da punte verdi a comparsa mazzetti,53,55,due_letture_concordi
MELO,da punte verdi a mazzetti affioranti,53,55,due_letture_concordi
MELO,da punte verdi a orecchiette di topo,53,54,due_letture_concordi
MELO,da punte verdi ad orecchiette di topo,53,54,due_letture_concordi
MELO,da rigonfiamento gemme a punte verdi,51,53,due_letture_concordi
MELO,fine fioritura – allegagione,67,71,due_letture_concordi
MELO,fioritura,60,69,due_letture_concordi
MELO,fioritura – caduta petali,60,69,due_letture_concordi
MELO,gemma ferma,0,0,due_letture_concordi
MELO,gemma ferma – inizio rigonfiamento gemma,0,51,due_letture_concordi
MELO,gemma ferma – rigonfiamento gemma,0,52,due_letture_concordi
MELO,ingrossamento frutti,71,79,due_letture_concordi
MELO,ingrossamento frutti a maturazione,71,89,due_letture_concordi
MELO,ingrossamento frutti ad inizio maturazione,71,81,due_letture_concordi
MELO,mazzetti affioranti – bottone rosa,55,57,due_letture_concordi
MELO,punte verdi – comparsa bottoni fiorali,51,55,due_letture_concordi
MELO,punte verdi – orecchiette di topo,53,54,due_letture_concordi
MELO,rigonfiamento gemma – punte verdi,51,53,due_letture_concordi
MELO,rigonfiamento gemme,51,52,due_letture_concordi
NOCE,accrescimento frutto,71,79,due_letture_concordi
NOCE,allegagione,69,69,arbitrato
NOCE,da emissione amenti ad inizio fioritura,51,61,due_letture_concordi
NOCE,da fine fioritura ad allegagione,67,69,arbitrato
NOCE,da germogliamento a emissione degli amenti,7,59,due_letture_concordi
NOCE,da germogliamento ad emissione amenti,7,59,due_letture_concordi
NOCE,fioritura,60,69,due_letture_concordi
NOCE,indurimento guscio,75,79,due_letture_concordi
NOCE,inizio germogliamento,7,7,due_letture_concordi
NOCE,maturazione gheriglio,81,87,due_letture_concordi
